timestamps,open,high,low,close,volume,amount
2026-04-15 06:30:00,73880.0,73943.9,73868.0,73868.1,103.636,7658503.666
2026-04-15 06:35:00,73868.1,73955.3,73842.6,73932.7,151.416,11187073.3894
2026-04-15 06:40:00,73932.7,73961.6,73915.1,73960.7,40.983,3030262.2267
2026-04-15 06:45:00,73960.7,73979.4,73911.4,73916.2,70.403,5206153.1586
2026-04-15 06:50:00,73916.2,73935.3,73851.1,73854.9,126.732,9362430.6165
2026-04-15 06:55:00,73854.9,73864.0,73810.7,73848.0,161.138,11897363.8821
2026-04-15 07:00:00,73848.0,73902.9,73828.1,73866.0,235.827,17419957.3682
2026-04-15 07:05:00,73866.0,73866.0,73780.0,73807.4,159.013,11736446.1697
2026-04-15 07:10:00,73807.4,73970.8,73807.3,73866.8,145.034,10721084.1564
2026-04-15 07:15:00,73866.8,73870.4,73541.1,73600.0,999.373,73609638.7809
2026-04-15 07:20:00,73600.0,73680.0,73570.0,73640.6,237.064,17453227.8922
2026-04-15 07:25:00,73640.6,73688.3,73593.6,73667.1,219.863,16192886.2345
2026-04-15 07:30:00,73667.1,73674.8,73520.1,73579.6,226.972,16706549.0757
2026-04-15 07:35:00,73579.6,73652.6,73559.2,73612.4,213.844,15740140.2012
2026-04-15 07:40:00,73612.4,73630.0,73545.5,73555.1,239.224,17600046.6141
2026-04-15 07:45:00,73555.1,73663.7,73455.5,73655.7,577.261,42457994.3463
2026-04-15 07:50:00,73655.7,73745.6,73623.8,73715.6,306.059,22552820.9284
2026-04-15 07:55:00,73715.6,73747.9,73681.3,73701.9,173.624,12797758.606
2026-04-15 08:00:00,73701.9,73732.1,73630.1,73726.2,145.019,10685358.2144
2026-04-15 08:05:00,73726.2,73800.0,73702.9,73702.9,204.602,15091716.2339
2026-04-15 08:10:00,73702.9,73812.3,73670.0,73803.9,146.623,10812202.9854
2026-04-15 08:15:00,73803.9,73845.0,73792.9,73821.8,235.557,17388609.6762
2026-04-15 08:20:00,73821.8,73903.5,73821.7,73903.5,194.771,14387257.6269
2026-04-15 08:25:00,73903.5,73950.0,73902.6,73947.5,182.55,13495124.3052
